date,last_available_confirmed,last_available_deaths,new_confirmed,new_deaths,mean_confirmed,mean_deaths,pct_change_confirmed,pct_change_deaths
2021-02-26,150042,2947,405,7,396.57142857142856,6.571428571428571,-0.2755741127348643,0.06976744186046502
2021-02-27,150533,2955,491,8,419.14285714285717,7.0,-0.3049040511727078,0.13953488372093026
2021-02-28,151411,2961,878,6,483.57142857142856,7.428571428571429,-0.23172945982750803,0.061224489795918435
2021-03-01,152003,2969,592,8,518.7142857142857,7.857142857142857,-0.1381438404937101,0.17021276595744683
2021-03-02,152367,2976,364,7,534.2857142857143,7.857142857142857,-0.06988311365332,0.25
2021-03-03,152986,2984,619,8,558.4285714285714,7.714285714285714,0.0689089417555373,0.2272727272727273
2021-03-04,153482,2993,496,9,549.2857142857143,7.571428571428571,0.11870817573465242,0.29268292682926833
2021-03-05,154031,3003,549,10,569.8571428571429,8.0,0.16331291921843105,0.3999999999999999
2021-03-06,154175,3013,144,10,520.2857142857143,8.285714285714286,0.1725692208628462,0.5675675675675678
2021-03-07,155384,3023,1209,10,567.5714285714286,8.857142857142858,0.325658992325659,0.8787878787878789
2021-03-08,156109,3032,725,9,586.5714285714286,9.0,0.5235621521335807,0.909090909090909
2021-03-09,156491,3043,382,11,589.1428571428571,9.571428571428571,0.6281089617054876,0.9142857142857141
2021-03-10,157088,3057,597,14,586.0,10.428571428571429,0.628423977768956,0.972972972972973
2021-03-11,157340,3072,252,15,551.1428571428571,11.285714285714286,0.37785714285714267,0.7954545454545456
2021-03-12,157535,3088,195,16,500.57142857142856,12.142857142857142,0.26224783861671463,0.8478260869565217
2021-03-13,158251,3105,716,17,582.2857142857143,13.142857142857142,0.38922972051806415,0.8775510204081631
2021-03-14,158800,3123,549,18,488.0,14.285714285714286,0.009158050221565794,0.9230769230769231
2021-03-15,159857,3141,1057,18,535.4285714285714,15.571428571428571,0.03222252822913818,0.9818181818181819
2021-03-16,160373,3163,516,22,554.5714285714286,17.142857142857142,0.03796791443850256,1.1818181818181817
2021-03-17,161841,3187,1468,24,679.0,18.571428571428573,0.21591199795344074,1.4074074074074074
2021-03-18,162651,3210,810,23,758.7142857142857,19.714285714285715,0.38127438231469424,1.6037735849056607
2021-03-19,163528,3234,877,24,856.1428571428571,20.857142857142858,0.5023815492604662,1.6071428571428572
2021-03-20,164590,3257,1062,23,905.5714285714286,21.714285714285715,0.7405271828665567,1.6206896551724137
2021-03-21,165916,3276,1326,19,1016.5714285714286,21.857142857142858,0.7910898565315883,1.467741935483871
2021-03-22,166617,3298,701,22,965.7142857142857,22.428571428571427,0.6463711641500243,1.492063492063492
2021-03-23,167736,3322,1119,24,1051.857142857143,22.714285714285715,0.7854025218234726,1.373134328358209
